Species,Mass g
ANGE,0.0023
ANGE,0.0015
ANGE,0.0026
ANGE,0.0038
ANGE,0.004
ANGE,0.0026
ANGE,0.0033
ANGE,0.0025
ANGE,0.0028
ANGE,0.0046
ELCA,0.0076
ELCA,0.0049
ELCA,0.003
ELCA,0.0068
ELCA,0.0035
ELCA,0.0053
ELCA,0.0041
ELCA,0.0067
ELCA,0.0061
ELCA,0.0053
HEDI,0.0017
HEDI,0.0015
HEDI,0.0023
HEDI,0.0017
HEDI,0.0014
HEDI,0.0029
HEDI,0.0031
HEDI,0.0023
HEDI,0.002
HEDI,0.0009
LOCO,0.0012
LOCO,0.0015
LOCO,0.0014
LOCO,0.0013
LOCO,0.0016
LOCO,0.0011
LOCO,0.0015
LOCO,0.0011
LOCO,0.0014
LOCO,0.0009
DAPU,0.0019
DAPU,0.0019
DAPU,0.0015
DAPU,0.0017
DAPU,0.0011
DAPU,0.0017
DAPU,0.0012
DAPU,0.002
DAPU,0.0005
DAPU,0.0012
TRRE,0.0018
TRRE,0.0019
TRRE,0.0019
TRRE,0.002
TRRE,0.0025
TRRE,0.0022
TRRE,0.0223
TRRE,0.0017
TRRE,0.0024
TRRE,0.0021
LOMA,0.0027
LOMA,0.0033
LOMA,0.033
LOMA,0.0026
LOMA,0.0035
LOMA,0.0031
LOMA,0.0033
LOMA,0.0029
LOMA,0.0028
LOMA,0.003
